"driverId","raceId","año","circuitId","fecha","hora","pos_en_carrera","acumulado_victorias","fecha_nac","referencia","nacionalidad","tiempo_total","tiempo_medio","num_vuelta_rapida","tiempo_mas_rapido","tiempo_medio_box","tiempo_total_box","num_veces_box","q1","q2","q3","puntos_carrera","vel_vuelta_rapida","edad","q1_ms","q2_ms","q3_ms"
1,1071,2021,18,2021-11-14,17,2,6,1985-01-07,"hamilton","British",5542851,78068.323943662,46,71982,20481,81924,4,"1:08.733","1:08.068","1:07.934",25,215.503,36,68733,68068,67934
1,1072,2021,77,2021-12-05,17,2,8,1985-01-07,"hamilton","British",7575118,151502.36,47,90734,701036.666666667,2103110,3,"1:28.466","1:27.712","1:27.511",26,244.962,36,88466,87712,87511
1,1073,2021,24,2021-12-12,13,2,8,1985-01-07,"hamilton","British",5419601,93441.3965517241,43,86615,21595,21595,1,"1:22.845","1:23.145","1:22.480",18,219.495,36,82845,83145,82480
1,1074,2022,3,2022-03-20,15,3,0,1985-01-07,"hamilton","British",5863259,102864.192982456,53,96228,25525.3333333333,76576,3,"1:32.285","1:31.048","1:31.238",15,202.469,37,92285,91048,91238
1,1075,2022,77,2022-03-27,17,5,0,1985-01-07,"hamilton","British",5133241,102664.82,47,92997,21788,21788,1,"1:30.343","\N","\N",1,239.001,37,90343,0,0
1,1076,2022,1,2022-04-10,5,5,0,1985-01-07,"hamilton","British",5295091,91294.6724137931,51,81886,17877,17877,1,"1:19.401","1:19.106","1:18.825",12,232.039,37,79401,79106,78825
1,1077,2022,21,2022-04-24,13,7,0,1985-01-07,"hamilton","British",5543265,89407.5,50,81419,32740,32740,1,"1:20.470","1:21.138","",0,217.054,37,80470,81138,0
1,1078,2022,79,2022-05-08,19,6,0,1985-01-07,"hamilton","British",5685626,99747.8245614035,55,92941,18820,18820,1,"1:30.388","1:29.797","1:29.625",8,209.629,37,90388,89797,89625
1,1079,2022,4,2022-05-22,13,6,0,1985-01-07,"hamilton","British",5895009,89318.3181818182,51,84253,25133.3333333333,75400,3,"1:20.252","1:19.794","1:19.512",10,199.755,37,80252,79794,79512
1,1080,2022,6,2022-05-29,13,6,0,1985-01-07,"hamilton","British",7040653,110010.203125,51,77203,411861.333333333,1235584,3,"1:13.444","1:12.595","1:12.560",4,155.605,37,73444,72595,72560
1,1081,2022,73,2022-06-12,11,6,0,1985-01-07,"hamilton","British",5717620,112110.196078431,39,107044,21150.5,42301,2,"1:43.939","1:43.182","1:42.924",12,201.887,37,103939,103182,102924
1,1082,2022,7,2022-06-19,18,6,0,1985-01-07,"hamilton","British",5788763,82696.6142857143,69,76167,23843,47686,2,"1:33.841","1:25.543","1:22.891",15,206.12,37,93841,85543,82891
1,1083,2022,9,2022-07-03,14,6,0,1985-01-07,"hamilton","British",8276536,159164.153846154,52,90510,1035240.33333333,3105721,3,"1:40.428","1:41.062","1:41.995",16,234.312,37,100428,101062,101995
1,1084,2022,70,2022-07-10,13,6,0,1985-01-07,"hamilton","British",5105529,71908.8591549296,63,69000,22861.5,45723,2,"1:06.079","1:05.475","1:13.151",15,225.286,37,66079,65475,73151
1,1085,2022,34,2022-07-24,13,6,0,1985-01-07,"hamilton","British",5412699,102126.396226415,30,97668,37189,37189,1,"1:33.041","1:32.274","1:31.765",18,215.333,37,93041,92274,91765
1,1086,2022,11,2022-07-31,13,6,0,1985-01-07,"hamilton","British",5983746,85482.0857142857,57,81386,21897,43794,2,"1:18.374","1:18.035","1:18.142",19,193.787,37,78374,78035,78142
1,1088,2022,39,2022-09-04,13,6,0,1985-01-07,"hamilton","British",5815789,80774.8472222222,54,73854,17455,52365,3,"1:11.331","1:11.075","1:10.648",12,207.604,37,71331,71075,70648
1,1089,2022,14,2022-09-11,13,6,0,1985-01-07,"hamilton","British",4832891,91186.6226415094,43,84434,24282,24282,1,"1:22.048","1:21.708","1:21.524",10,246.995,37,82048,81708,81524
1,1091,2022,15,2022-10-02,12,6,0,1985-01-07,"hamilton","British",7401753,125453.440677966,58,110622,41019,41019,1,"1:53.161","1:52.691","1:49.466",2,164.766,37,113161,112691,109466
1,1092,2022,22,2022-10-09,5,6,0,1985-01-07,"hamilton","British",3744330,133726.071428571,11,105530,210781.5,421563,2,"1:30.906","1:30.443","1:30.261",10,198.097,37,90906,90443,90261
1,1093,2022,69,2022-10-23,19,6,0,1985-01-07,"hamilton","British",6136710,109584.107142857,45,99830,24248.5,48497,2,"1:36.148","1:35.732","1:34.947",18,198.805,37,96148,95732,94947
